id,nobuilds,adj,holef,mink
0,24,21.598448000,0.173542000,294.331183000
1,46,33.462976000,0.294686000,431.349520000
2,92,47.649850000,0.344152000,610.947920000
3,138,80.995033000,0.724368000,1125.935455000
